MonitorID	TrueValue	CSObs	ErrorType	CSEindex
285	15	15	0	312
291	4	4	0	313
291	0	0	0	314
291	12	12	0	315
291	8	8	0	316
292	0	0	0	317
292	35	35	0	318
292	0	0	0	319
292	21	21	0	320
292	17	17	0	321
292	0	0	0	322
292	40	40	0	323
292	0	0	0	324
295	35	35	0	325
298	0	0	0	326
298	6	6	0	327
298	0	0	0	328
298	0	0	0	329
298	0	0	0	330
298	0	0	0	331
299	12	12	0	332
299	15	18	2	333
299	0	0	0	334
299	3	3	0	335
299	0	0	0	336
299	83	83	0	337
299	0	0	0	338
299	3	7	3	339
299	0	0	0	340
299	37	41	3	341
299	17	17	0	342
299	31	31	0	343
301	84	87	2	344
308	4	4	0	345
308	8	8	0	346
308	44	46	2	347
308	115	115	0	348
309	68	70	2	349
309	0	0	0	350
309	70	70	0	351
309	20	20	0	352
309	0	0	0	353
309	0	0	0	354
309	0	0	0	355
311	11	11	0	356
311	24	24	0	357
311	55	55	0	358
311	12	12	0	359
312	0	0	0	360
312	1	1	0	361
312	22	22	0	362
313	0	0	0	363
313	3	0.3	1	364
313	0	0	0	365
313	53	53	0	366
313	0	0	0	367
313	4	6	2	368
314	64	64	0	369
315	181	90	3	370
316	85	85	0	371
318	2	2	0	372
321	0	0	0	373
324	0	0	0	374
324	0	0	0	375
324	3	5	2	376
324	3	3	0	377
332	0	0	0	378
332	0	0	0	379
332	9	9	0	380
332	0	0	0	381
333	45	45	0	382
333	0	0	0	383
333	20	20	0	384
333	54	54	0	385
333	12	12	0	386
333	38	38	0	387
333	45	45	0	388
333	0	0	0	389
333	5	5	0	390
333	18	21	2	391
333	0	0	0	392
333	69	69	0	393
333	20	23	2	394
333	7	12	3	395
333	9	9	0	396
333	0	0	0	397
333	0	0	0	398
333	0	0	0	399
333	40	40	0	400
335	75	75	0	401
335	2	2	0	402
335	18	18	0	403
335	0	0	0	404
336	3	0.3	1	405
338	18	18	0	406
338	44	44	0	407
338	20	10	3	408
338	52	52	0	409
338	6	6	0	410
339	12	15	2	411
339	31	31	0	412
339	40	40	0	413
339	49	49	0	414
339	2	2	0	415
340	1	1	0	416
340	15	15	0	417
341	3	3	0	418
341	35	35	0	419
341	5	5	0	420
341	2	2	0	421
345	14	14	0	422
345	29	29	0	423
345	2	2	0	424
345	82.5	82.5	0	425
345	116	116	0	426
346	7	7	0	427
347	25	25	0	428
347	24	26	2	429
350	6	6	0	430
350	0	0	0	431
350	98	98	0	432
350	102	102	0	433
351	32	32	0	434
351	28	28	0	435
351	32	32	0	436
351	9	9	0	437
352	0	0	0	438
352	16	19	2	439
352	50	50	0	440
352	0	0	0	441
352	37	5	3	442
352	0	0	0	443
352	15	15	0	444
352	13	16	2	445
353	89	89	0	446
353	0	0	0	447
